ncbi_gene_id,organism,geneSymbol
64462,Rattus norvegicus (Norway rat),Csnk1d
58822,Rattus norvegicus (Norway rat),Csnk1e
81650,Rattus norvegicus (Norway rat),Csnk2b
12447,Mus musculus (house mouse),Ccne1
1627,Homo sapiens (human),DBN1
215821,Mus musculus (house mouse),Arfgef3
1837,Homo sapiens (human),DTNA
1813,Homo sapiens (human),DRD2
235442,Mus musculus (house mouse),Rab8b
1815,Homo sapiens (human),DRD4
22628,Mus musculus (house mouse),Ywhag
15204,Mus musculus (house mouse),Herc2
7169,Homo sapiens (human),TPM2
1192,Homo sapiens (human),CLIC1
1460,Homo sapiens (human),CSNK2B
1612,Homo sapiens (human),DAPK1
6531,Homo sapiens (human),SLC6A3
4036,Homo sapiens (human),LRP2
8905,Homo sapiens (human),AP1S2
54165,Homo sapiens (human),DCUN1D1
23576,Homo sapiens (human),DDAH1
5728,Homo sapiens (human),PTEN
51655,Homo sapiens (human),RASD1
4647,Homo sapiens (human),MYO7A
5962,Homo sapiens (human),RDX
4646,Homo sapiens (human),MYO6
13138,Mus musculus (house mouse),Dag1
8525,Homo sapiens (human),DGKZ
1716,Homo sapiens (human),DGUOK
13426,Mus musculus (house mouse),Dync1i1
367,Homo sapiens (human),AR
84920,Homo sapiens (human),ALG10
853142,Saccharomyces cerevisiae S288C," YGR227W, ALG10"
2969,Homo sapiens (human),GTF2I
1743,Homo sapiens (human),DLST
7402,Homo sapiens (human),UTRN
1657,Homo sapiens (human),DMXL1
3301,Homo sapiens (human),DNAJA1
139818,Homo sapiens (human),DOCK11
1795,Homo sapiens (human),DOCK3
545156,Mus musculus (house mouse),Kalrn
4090,Homo sapiens (human),SMAD5
1756,Homo sapiens (human),DMD
10059,Homo sapiens (human),DNM1L
10540,Homo sapiens (human),DCTN2
55145,Homo sapiens (human),THAP1
114027,Rattus norvegicus (Norway rat),Dao
13175,Mus musculus (house mouse),Dclk1
31050,Drosophila melanogaster (fruit fly),CG11638
37729,Drosophila melanogaster (fruit fly),Dcp-1
36329,Drosophila melanogaster (fruit fly),Cam
75465,Mus musculus (house mouse),Dynlrb2
235661,Mus musculus (house mouse),Dync1li1
12934,Mus musculus (house mouse),Dpysl2
24318,Rattus norvegicus (Norway rat),Drd2
13528,Mus musculus (house mouse),Dtnb
67972,Mus musculus (house mouse),Atp2b1
239510,Mus musculus (house mouse),Phf20l1
10921,Homo sapiens (human),RNPS1
85403,Homo sapiens (human),EAF1
3756,Homo sapiens (human),KCNH1
6146,Homo sapiens (human),RPL22
22919,Homo sapiens (human),MAPRE1
3785,Homo sapiens (human),KCNQ2
20404,Mus musculus (house mouse),Sh3gl2
6456,Homo sapiens (human),SH3GL2
1915,Homo sapiens (human),EEF1A1
5740544,Drosophila melanogaster (fruit fly),futsch
700565,Macaca mulatta (Rhesus monkey),"1,"
9669,Homo sapiens (human),EIF5B
79694,Homo sapiens (human),MANEA
23052,Homo sapiens (human),ENDOD1
9941,Homo sapiens (human),EXOG
13626,Mus musculus (house mouse),Eed
7273,Homo sapiens (human),TTN
2035,Homo sapiens (human),EPB41
9685,Homo sapiens (human),CLINT1
117018,Rattus norvegicus (Norway rat),Kcnh2
856478,Saccharomyces cerevisiae S288C," YHR079C, ERN1"
2099,Homo sapiens (human),ESR1
6645,Homo sapiens (human),SNTB2
2130,Homo sapiens (human),EWSR1
13627,Mus musculus (house mouse),Eef1a1
13822,Mus musculus (house mouse),Epb41l2
13823,Mus musculus (house mouse),Epb41l3
839726,Arabidopsis thaliana (thale cress),[Arabidopsis
8263,Homo sapiens (human),F8A1
2168,Homo sapiens (human),FABP1
286499,Homo sapiens (human),FAM133A
10328,Homo sapiens (human),EMC8
55719,Homo sapiens (human),SLF2
10712,Homo sapiens (human),FAM189B
9859,Homo sapiens (human),CEP170
54069,Homo sapiens (human),MIS18A
23048,Homo sapiens (human),FNBP1
4008,Homo sapiens (human),LMO7
2235,Homo sapiens (human),FECH
8291,Homo sapiens (human),DYSF
2281,Homo sapiens (human),FKBP1B
2287,Homo sapiens (human),FKBP3
2288,Homo sapiens (human),FKBP4
23770,Homo sapiens (human),FKBP8
284119,Homo sapiens (human),CAVIN1
84769,Homo sapiens (human),MPV17L2
2316,Homo sapiens (human),FLNA
10906,Homo sapiens (human),TRAFD1
648,Homo sapiens (human),BMI1
64838,Homo sapiens (human),FNDC4
11116,Homo sapiens (human),CEP43
75296,Mus musculus (house mouse),Cep43
2358,Homo sapiens (human),FPR2
851223,Saccharomyces cerevisiae S288C," YAL010C, FUN37"
72179,Mus musculus (house mouse),Fbxl2
14269,Mus musculus (house mouse),Fnbp1
14226,Mus musculus (house mouse),Fkbp1b
286940,Mus musculus (house mouse),Flnb
14251,Mus musculus (house mouse),Flot1
17886,Mus musculus (house mouse),Myh9
77579,Mus musculus (house mouse),Myh10
14265,Mus musculus (house mouse),Fmr1
51886,Mus musculus (house mouse),Fubp1
14359,Mus musculus (house mouse),Fxr1
17756,Mus musculus (house mouse),Map2
1655,Homo sapiens (human),DDX5
2597,Homo sapiens (human),GAPDH
165829,Homo sapiens (human),GPR156
2580,Homo sapiens (human),GAK
8139,Homo sapiens (human),GAN
2596,Homo sapiens (human),GAP43
9615,Homo sapiens (human),GDA
854380,Saccharomyces cerevisiae S288C," YOR205C, AIM40, FMP38, MTG3"
855338,Saccharomyces cerevisiae S288C," YMR293C, GEP6, QRS1, RRG6"
9771,Homo sapiens (human),RAPGEF5
2730,Homo sapiens (human),GCLM
27165,Homo sapiens (human),GLS2
6515,Homo sapiens (human),SLC2A3
2783,Homo sapiens (human),GNB2
2801,Homo sapiens (human),GOLGA2
8548,Homo sapiens (human),BLZF1
2239,Homo sapiens (human),GPC4
852047,Saccharomyces cerevisiae S288C, YDR437W
51206,Homo sapiens (human),GP6
27333,Homo sapiens (human),GOLIM4
851527,Saccharomyces cerevisiae S288C, YDL035C
2834,Homo sapiens (human),PRLHR
1902,Homo sapiens (human),LPAR1
9293,Homo sapiens (human),GPR52
55915,Homo sapiens (human),LANCL2
2886,Homo sapiens (human),GRB7
66008,Homo sapiens (human),TRAK2
2868,Homo sapiens (human),GRK4
2915,Homo sapiens (human),GRM5
9570,Homo sapiens (human),GOSR2
10533,Homo sapiens (human),ATG7
128,Homo sapiens (human),ADH5
31248,Drosophila melanogaster (fruit fly),sgg
2931,Homo sapiens (human),GSK3A
9188,Homo sapiens (human),DDX21
2977,Homo sapiens (human),GUCY1A2
54584,Homo sapiens (human),GNB1L
36104,Drosophila melanogaster (fruit fly),Galphao
14432,Mus musculus (house mouse),Gap43
24392,Rattus norvegicus (Norway rat),Gja1
25051,Rattus norvegicus (Norway rat),Glp1r
60432,Rattus norvegicus (Norway rat),Glp2r
56356,Mus musculus (house mouse),Gltp
13527,Mus musculus (house mouse),Dtna
14688,Mus musculus (house mouse),Gnb1
108071,Mus musculus (house mouse),Grm5
81672,Rattus norvegicus (Norway rat),Grm7
3014,Homo sapiens (human),H2AX
474,Homo sapiens (human),ATOH1
10456,Homo sapiens (human),HAX1
114,Homo sapiens (human),ADCY8
10282,Homo sapiens (human),BET1
5136,Homo sapiens (human),PDE1A
3741,Homo sapiens (human),KCNA5
9759,Homo sapiens (human),HDAC4
57520,Homo sapiens (human),HECW2
852248,Saccharomyces cerevisiae S288C," YBL032W, KHD1"
7415,Homo sapiens (human),VCP
1410,Homo sapiens (human),CRYAB
7334,Homo sapiens (human),UBE2N
808,Homo sapiens (human),CALM3
7170,Homo sapiens (human),TPM3
55662,Homo sapiens (human),HIF1AN
6045,Homo sapiens (human),RNF2
155971,Human immunodeficiency virus 1,glycoprotein
156110,Human immunodeficiency virus 1,immunodeficiency
4057,Homo sapiens (human),LTF
10363,Homo sapiens (human),HMG20A
6927,Homo sapiens (human),HNF1A
4670,Homo sapiens (human),HNRNPM
114571,Homo sapiens (human),SLC22A9
6757,Homo sapiens (human),SSX2
3578,Homo sapiens (human),IL9
3270,Homo sapiens (human),HRC
55320,Homo sapiens (human),MIS18BP1
3303,Homo sapiens (human),HSPA1A
3320,Homo sapiens (human),HSP90AA1
3312,Homo sapiens (human),HSPA8
10273,Homo sapiens (human),STUB1
51234,Homo sapiens (human),EMC4
3357,Homo sapiens (human),HTR2B
170572,Homo sapiens (human),HTR3C
3739,Homo sapiens (human),KCNA4
8826,Homo sapiens (human),IQGAP1
1994,Homo sapiens (human),ELAVL1
51366,Homo sapiens (human),UBR5
10008,Homo sapiens (human),KCNE3
6329,Homo sapiens (human),SCN4A
10161,Homo sapiens (human),LPAR6
79577,Homo sapiens (human),CDC73
36914,Drosophila melanogaster (fruit fly),Dark
330953,Mus musculus (house mouse),Hcn4
50884,Mus musculus (house mouse),Nckap1
15516,Mus musculus (house mouse),Hsp90ab1
73442,Mus musculus (house mouse),Hspa12a
3329,Homo sapiens (human),HSPD1
4077,Homo sapiens (human),NBR1
854718,Saccharomyces cerevisiae S288C, YIL090W
850788,Saccharomyces cerevisiae S288C, YLR099C
3161,Homo sapiens (human),HMMR
853582,Saccharomyces cerevisiae S288C, YJR118C
8398,Homo sapiens (human),PLA2G6
4798,Homo sapiens (human),NFRKB
51377,Homo sapiens (human),UCHL5
27130,Homo sapiens (human),INVS
3708,Homo sapiens (human),ITPR1
9657,Homo sapiens (human),IQCB1
23288,Homo sapiens (human),IQCE
10788,Homo sapiens (human),IQGAP2
128239,Homo sapiens (human),IQGAP3
3753,Homo sapiens (human),KCNE1
3655,Homo sapiens (human),ITGA6
3693,Homo sapiens (human),ITGB5
24954,Rattus norvegicus (Norway rat),Insr
320299,Mus musculus (house mouse),Iqcb1
9479,Homo sapiens (human),MAPK8IP1
56704,Homo sapiens (human),JPH1
854418,Saccharomyces cerevisiae S288C," YOR244W, KAT5, TAS1"
3762,Homo sapiens (human),KCNJ5
853514,Saccharomyces cerevisiae S288C, YJR054W
30818,Homo sapiens (human),KCNIP3
9992,Homo sapiens (human),KCNE2
3757,Homo sapiens (human),KCNH2
3766,Homo sapiens (human),KCNJ10
3761,Homo sapiens (human),KCNJ4
144245,Homo sapiens (human),ALG10B
374065,Gallus gallus (chicken),KCNMA1
23028,Homo sapiens (human),KDM1A
8242,Homo sapiens (human),KDM5C
850603,Saccharomyces cerevisiae S288C, YFR042W
851973,Saccharomyces cerevisiae S288C, YDR367W
3760,Homo sapiens (human),KCNJ3
3845,Homo sapiens (human),KRAS
23392,Homo sapiens (human),ECPAS
57698,Homo sapiens (human),SHTN1
80726,Homo sapiens (human),IQCN
3798,Homo sapiens (human),KIF5A
3772,Homo sapiens (human),KCNJ15
147700,Homo sapiens (human),KLC3
57106,Homo sapiens (human),NAT14
855394,Saccharomyces cerevisiae S288C, YNL322C
2547,Homo sapiens (human),XRCC6
3745,Homo sapiens (human),KCNB1
25470,Rattus norvegicus (Norway rat),Kcna5
16518,Mus musculus (house mouse),Kcnj2
16531,Mus musculus (house mouse),Kcnma1
16564,Mus musculus (house mouse),Kif21a
84020,Rattus norvegicus (Norway rat),Kcnq1
800,Homo sapiens (human),CALD1
856530,Saccharomyces cerevisiae S288C," YHR129C, ACT5"
851109,Saccharomyces cerevisiae S288C, YLR393W
851545,Saccharomyces cerevisiae S288C," YDL017W, LSD6, SAS1"
851181,Saccharomyces cerevisiae S288C," YLR459W, CDC91"
851055,Saccharomyces cerevisiae S288C," YLR342W, CND1, CWH53, ETG1, GSC1, PBR1"
851623,Saccharomyces cerevisiae S288C," YDR052C, DNA52, LSD7"
854339,Saccharomyces cerevisiae S288C, YOR168W
854042,Saccharomyces cerevisiae S288C, YOL108C
853418,Saccharomyces cerevisiae S288C," YJL034W, GRP78"
851726,Saccharomyces cerevisiae S288C, YDR148C
850527,Saccharomyces cerevisiae S288C," YFL018C, HPD1"
853609,Saccharomyces cerevisiae S288C," YJR144W, MGM9"
855309,Saccharomyces cerevisiae S288C," YMR267W, IPP2"
852109,Saccharomyces cerevisiae S288C, YDR498C
854428,Saccharomyces cerevisiae S288C," YOR254C, PTL1"
852955,Saccharomyces cerevisiae S288C, YGR063C
855661,Saccharomyces cerevisiae S288C," YNL064C, HSP40, MAB3, MAS5"
850513,Saccharomyces cerevisiae S288C," YFL031W, ERN4, IRE15"
852196,Saccharomyces cerevisiae S288C," YBL082C, RHK1"
852862,Saccharomyces cerevisiae S288C, YGL022W
852591,Saccharomyces cerevisiae S288C," YBR288C, YKS6"
851832,Saccharomyces cerevisiae S288C," YDR245W, BED1, REC41, SLC2"
854153,Saccharomyces cerevisiae S288C, YOL009C
854270,Saccharomyces cerevisiae S288C, YOR103C
854252,Saccharomyces cerevisiae S288C, YOR085W
851645,Saccharomyces cerevisiae S288C, YDR073W
851366,Saccharomyces cerevisiae S288C, YDL232W
852530,Saccharomyces cerevisiae S288C," YBR229C, GLS2"
856501,Saccharomyces cerevisiae S288C, YHR101C
850943,Saccharomyces cerevisiae S288C, YLR242C
854163,Saccharomyces cerevisiae S288C, YOR002W
854763,Saccharomyces cerevisiae S288C, YIL048W
856144,Saccharomyces cerevisiae S288C," YPR032W, SNI1, SOP1"
851145,Saccharomyces cerevisiae S288C," YLR425W, SOP10"
852796,Saccharomyces cerevisiae S288C, YGL084C
23521,Homo sapiens (human),RPL13A
114294,Homo sapiens (human),LACTB
853384,Saccharomyces cerevisiae S288C," YJL062W, GPI7"
3921,Homo sapiens (human),RPSA
8655,Homo sapiens (human),DYNLL1
854925,Saccharomyces cerevisiae S288C," YML115C, LDB13, VRG7, VRG8"
4284,Homo sapiens (human),MIP
51474,Homo sapiens (human),LIMA1
8224,Homo sapiens (human),SYN3
81562,Homo sapiens (human),LMAN2L
4004,Homo sapiens (human),LMO1
9260,Homo sapiens (human),PDLIM7
100289290,Homo sapiens (human),chain
3316,Homo sapiens (human),HSPB2
856050,Saccharomyces cerevisiae S288C," YPL057C, BCL21, CSG1, LPE15"
853765,Saccharomyces cerevisiae S288C," YKL096W-A, LPR1, YKL097W-A"
54984,Homo sapiens (human),PINX1
3784,Homo sapiens (human),KCNQ1
6640,Homo sapiens (human),SNTA1
287,Homo sapiens (human),ANK2
7804,Homo sapiens (human),LRP8
79598,Homo sapiens (human),CEP97
55692,Homo sapiens (human),LUC7L
51213,Homo sapiens (human),LUZP4
23209,Homo sapiens (human),MLC1
65970,Mus musculus (house mouse),Lima1
22342,Mus musculus (house mouse),Lin7b
94180,Mus musculus (house mouse),Acsbg1
667,Homo sapiens (human),DST
4105,Homo sapiens (human),MAGEA6
9500,Homo sapiens (human),MAGED1
57692,Homo sapiens (human),MAGEE1
4134,Homo sapiens (human),MAP4
4082,Homo sapiens (human),MARCKS
4142,Homo sapiens (human),MAS1
108645,Mus musculus (house mouse),Mat2b
1800,Homo sapiens (human),DPEP1
34,Homo sapiens (human),ACADM
83878,Homo sapiens (human),USHBP1
7542,Homo sapiens (human),ZFPL1
851887,Saccharomyces cerevisiae S288C," YDR293C, CLA1, MCS1, RLT1, SRK1"
9194,Homo sapiens (human),SLC16A7
84197,Homo sapiens (human),POMK
11041,Homo sapiens (human),B4GAT1
1605,Homo sapiens (human),DAG1
4192,Homo sapiens (human),MDK
852864,Saccharomyces cerevisiae S288C," YGL020C, MDM39"
7189,Homo sapiens (human),TRAF6
854508,Saccharomyces cerevisiae S288C, YOR330C
4171,Homo sapiens (human),MCM2
140465,Homo sapiens (human),MYL6B
91807,Homo sapiens (human),MYLK3
9659,Homo sapiens (human),PDE4DIP
4641,Homo sapiens (human),MYO1C
850654,Saccharomyces cerevisiae S288C," YLL006W, YME6"
20910,Mus musculus (house mouse),Stxbp1
854386,Saccharomyces cerevisiae S288C," YOR211C, MNA1"
4988,Homo sapiens (human),OPRM1
10933,Homo sapiens (human),MORF4L1
4343,Homo sapiens (human),MOV10
7064,Homo sapiens (human),THOP1
850628,Saccharomyces cerevisiae S288C," YLL031C, MPC1"
186,Homo sapiens (human),AGTR2
8450,Homo sapiens (human),CUL4B
4137,Homo sapiens (human),MAPT
58533,Homo sapiens (human),SNX6
10600,Homo sapiens (human),USP16
26020,Homo sapiens (human),LRP10
9107,Homo sapiens (human),MTMR6
855662,Saccharomyces cerevisiae S288C, YNL063W
4604,Homo sapiens (human),MYBPC1
23077,Homo sapiens (human),MYCBP2
4637,Homo sapiens (human),MYL6
4638,Homo sapiens (human),MYLK
4651,Homo sapiens (human),MYO10
397085,Sus scrofa (pig),MYO6
17118,Mus musculus (house mouse),Marcks
307594,Rattus norvegicus (Norway rat),Mib1
19070,Mus musculus (house mouse),Mob4
17760,Mus musculus (house mouse),Map6
270685,Mus musculus (house mouse),Mthfd1l
53332,Mus musculus (house mouse),Mtmr1
77980,Mus musculus (house mouse),Sbf1
23098,Homo sapiens (human),SARM1
105689,Mus musculus (house mouse),Mycbp2
17913,Mus musculus (house mouse),Myo1c
4842,Homo sapiens (human),NOS1
6323,Homo sapiens (human),SCN1A
92345,Homo sapiens (human),NAF1
79923,Homo sapiens (human),NANOG
2885,Homo sapiens (human),GRB2
5335,Homo sapiens (human),PLCG1
6546,Homo sapiens (human),SLC8A1
11329,Homo sapiens (human),STK38
4703,Homo sapiens (human),NEB
4734,Homo sapiens (human),NEDD4
23327,Homo sapiens (human),NEDD4L
91624,Homo sapiens (human),NEXN
55651,Homo sapiens (human),NHP2
79576,Homo sapiens (human),NKAP
4627,Homo sapiens (human),MYH9
10874,Homo sapiens (human),NMU
18125,Mus musculus (house mouse),Nos1
26064,Homo sapiens (human),RAI14
9722,Homo sapiens (human),NOS1AP
4843,Homo sapiens (human),NOS2
18844,Mus musculus (house mouse),Plxna1
4860,Homo sapiens (human),PNP
55666,Homo sapiens (human),NPLOC4
14812,Mus musculus (house mouse),Grin2b
5894,Homo sapiens (human),RAF1
4904,Homo sapiens (human),YBX1
867,Homo sapiens (human),CBL
4914,Homo sapiens (human),NTRK1
23224,Homo sapiens (human),SYNE2
81565,Homo sapiens (human),NDEL1
129401,Homo sapiens (human),NUP35
